,A.BRAKE1
16:13:42.121,-1
16:13:42.322,-1
16:13:42.523,-1
16:13:42.724,-1
16:13:42.926,-1
16:13:43.130,-1
16:13:43.334,-1
16:13:43.537,-1
16:13:43.745,-1
16:13:43.946,-1
16:13:44.147,-1
16:13:44.349,-1
16:13:44.550,-1
16:13:44.751,-1
16:13:44.952,-1
16:13:45.153,-1
16:13:45.355,-1
16:13:45.557,-1
16:13:45.758,-1
16:13:45.959,-1
16:13:46.160,-1
16:13:46.361,-1
16:13:46.561,-1
16:13:46.763,-1
16:13:46.964,-1
16:13:47.165,-1
16:13:47.366,-1
16:13:47.568,-1
16:13:47.772,-1
16:13:47.973,-1
16:13:48.174,-1
16:13:48.375,-1
16:13:48.576,-1
16:13:48.777,-1
16:13:48.978,-1
16:13:49.179,-1
16:13:49.380,-1
16:13:49.581,-1
16:13:49.782,-1
16:13:49.983,-1
16:13:50.184,-1
16:13:50.385,-1
16:13:50.586,-1
16:13:50.787,-1
16:13:50.988,-1
16:13:51.188,-1
16:13:51.389,-1
16:13:51.590,-1
16:13:51.791,-1
16:13:51.992,-1
16:13:52.193,-1
16:13:52.394,-1
16:13:52.596,-1
16:13:52.797,-1
16:13:52.999,-1
16:13:53.200,-1
16:13:53.402,-1
16:13:53.605,-1
16:13:53.806,-1
16:13:54.007,-1
16:13:54.208,-1
16:13:54.409,-1
16:13:54.610,-1
16:13:54.811,-1
16:13:55.012,-1
16:13:55.213,-1
16:13:55.414,-1
16:13:55.616,-1
16:13:55.816,-1
16:13:56.017,-1
16:13:56.218,-1
16:13:56.419,-1
16:13:56.620,-1
16:13:56.821,-1
16:13:57.022,-1
16:13:57.226,1
16:13:57.428,1
16:13:57.629,1
16:13:57.831,1
16:13:58.032,1
16:13:58.234,1
16:13:58.435,1
16:13:58.636,1
16:13:58.837,1
16:13:59.039,1
16:13:59.241,-1
16:13:59.442,-1
16:13:59.642,-1
16:13:59.844,-1
16:14:00.045,-1
16:14:00.245,-1
16:14:00.446,-1
16:14:00.647,-1
16:14:00.849,-1
16:14:01.050,-1
16:14:01.252,-1
16:14:01.453,-1
16:14:01.657,-1
16:14:01.858,-1
16:14:02.058,-1
16:14:02.259,-1
16:14:02.460,-1
16:14:02.661,-1
16:14:02.863,-1
16:14:03.064,-1
16:14:03.266,-1
16:14:03.469,-1
16:14:03.671,-1
16:14:03.872,-1
16:14:04.073,-1
16:14:04.274,-1
