,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG
17:27:40.324,200.0,0.25,0.1,1000.0,30.0,4.0,2600.0,1000.0,213.0,2490.0,0.0,2000.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:44.357,266918.0,0.25,0.1,1000.0,30.0,0.1,12500.0,1000.0,11008.0,0.0,0.0,1050.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:48.377,58452.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,9023.0,1830.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:52.399,104525.0,0.25,0.1,1000.0,30.0,0.1,17400.0,1000.0,15070.0,3000.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:27:56.433,193445.0,0.25,0.1,1000.0,30.0,5.0,500.0,1000.0,0.0,0.0,0.0,1700.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:00.468,300000.0,0.25,0.1,1000.0,30.0,5.1,18000.0,1000.0,149.0,1750.0,0.0,1150.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:04.500,128544.0,0.25,0.1,1000.0,30.0,3.7,18000.0,1000.0,23390.0,0.0,0.0,1750.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:08.019,76074.0,0.25,0.1,1000.0,30.0,0.0,16600.0,1000.0,6631.0,450.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:12.050,200.0,0.25,0.1,1000.0,30.0,5.1,7100.0,1000.0,26633.0,3000.0,0.0,1300.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:16.092,77252.0,0.25,0.1,1000.0,30.0,3.8,5200.0,1000.0,21975.0,3000.0,0.0,1700.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:20.124,188976.0,0.25,0.1,1000.0,30.0,2.7,18000.0,1000.0,0.0,1630.0,0.0,2000.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:24.155,217303.0,0.25,0.1,1000.0,30.0,4.1,2700.0,1000.0,32000.0,3000.0,0.0,650.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:28.197,214260.0,0.25,0.1,1000.0,30.0,4.0,13800.0,1000.0,28633.0,720.0,0.0,150.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:32.237,267952.0,0.25,0.1,1000.0,30.0,0.0,10400.0,1000.0,12587.0,1470.0,0.0,850.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:36.262,186672.0,0.25,0.1,1000.0,30.0,3.6,500.0,1000.0,13455.0,1750.0,0.0,1150.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:40.296,300000.0,0.25,0.1,1000.0,30.0,0.0,15000.0,1000.0,23813.0,1170.0,0.0,650.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:44.315,35876.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,25366.0,1770.0,0.0,600.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:48.353,229126.0,0.25,0.1,1000.0,30.0,0.0,4700.0,1000.0,20752.0,870.0,0.0,550.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:52.372,200.0,0.25,0.1,1000.0,30.0,1.4,500.0,1000.0,0.0,0.0,0.0,750.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:28:56.411,300000.0,0.25,0.1,1000.0,30.0,4.4,3200.0,1000.0,13651.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:29:00.430,200.0,0.25,0.1,1000.0,30.0,1.9,18000.0,1000.0,913.0,3000.0,0.0,2000.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:29:04.461,129717.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,13975.0,2050.0,0.0,2000.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:29:08.491,189878.0,0.25,0.1,1000.0,30.0,3.4,500.0,1000.0,25489.0,2750.0,0.0,2000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:29:12.019,5241.0,0.25,0.1,1000.0,30.0,0.0,16800.0,1000.0,11051.0,2090.0,0.0,150.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:29:16.037,14011.0,0.25,0.1,1000.0,30.0,0.2,6800.0,1000.0,8198.0,50.0,0.0,1000.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:29:20.075,275055.0,0.25,0.1,1000.0,30.0,0.8,18000.0,1000.0,16553.0,2500.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:29:24.123,247861.0,0.25,0.1,1000.0,30.0,0.0,13300.0,1000.0,13407.0,1470.0,0.0,1050.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:29:28.161,300000.0,0.25,0.1,1000.0,30.0,4.8,5000.0,1000.0,32000.0,1100.0,0.0,1100.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:29:32.211,300000.0,0.25,0.1,1000.0,30.0,2.4,7300.0,1000.0,24233.0,0.0,0.0,800.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
