time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
20:07:15,-0.3333333333333333,12.0,-1005.3333333333334,-555.3333333333334,-0.3333333333333333,15.666666666666666,1500.0,RTL,0.014470923691987991,-0.00039895554073154926,-0.7757988770802816,-0.5644580821196238,-0.0006498595660862824,0.014179377195735773,-35.3632645,149.16523486666668,22394.666666666668,19.333333333333332,15.666666666666666,98.33333333333333
20:07:25,-2.6666666666666665,-42.0,-1005.3333333333334,-57.666666666666664,1.6666666666666667,-2.0,1500.0,RTL,0.07262726873159409,-0.0025579085340723395,-0.7765210568904877,0.10192216373980045,0.0021904732566326857,-0.006499917712062597,-35.36326605,149.1652328,16070.0,28.5,29.5,101.5
20:07:27,3.0,-58.25,-962.5,-145.25,8.0,-1.25,1500.0,RTL,0.04239593539386988,0.007959139882586896,-0.7747242897748947,-0.1422179713845253,0.007991720747668296,-0.003114673716481775,-35.363265750000004,149.165232525,14192.5,42.0,42.0,104.0
20:07:29,4.0,-20.0,-1000.5,401.5,-2.5,1.0,1500.0,RTL,0.012553104665130377,0.007589316461235285,-0.7753466367721558,0.4024052321910858,-0.003820736543275416,-0.0010773275862447917,-35.363262825,149.165235975,12017.0,16.25,21.5,101.25
20:07:31,2.0,-9.333333333333334,-1005.0,170.0,-0.3333333333333333,0.0,1500.0,RTL,-0.005788922930757205,0.0039868110325187445,-0.775039275487264,0.16742482781410217,-0.0011899667442776263,-0.0019135877955704927,-35.36326123333333,149.1652385,10687.0,-3.6666666666666665,0.0,22.0
20:07:32,0.2,-0.4,-991.8,-212.6,-0.4,2.8,1500.0,RTL,-0.020243920758366583,0.0033953314647078513,-0.7751004695892334,-0.21972383558750153,-0.000979341205675155,0.001061560260131955,-35.3632607,149.16523916,10335.4,-11.0,-8.0,31.6
20:07:34,0.0,2.3333333333333335,-1004.6666666666666,271.8333333333333,0.6666666666666666,1.5,1500.0,RTL,0.0003684363327920437,0.001934644494516154,-0.7754139403502146,0.2681181977192561,0.00036530066184544313,-0.0011659456649795175,-35.363260999999994,149.16523880000003,9689.666666666666,-13.166666666666666,-10.333333333333334,34.666666666666664
20:07:36,0.5,31.666666666666668,-1001.5,619.3333333333334,4.333333333333333,4.5,1500.0,RTL,-0.007387380348518491,0.0039687422880282,-0.7753204902013143,0.6122772643963496,0.003789894573856145,0.0028353582601994276,-35.3632609,149.16523883333335,9007.166666666666,-10.833333333333334,-9.333333333333334,34.5
20:07:49,-0.8,-14.8,-959.4,-372.4,0.6,5.2,1500.0,RTL,0.0028239359467988833,0.001333027658984065,-0.7751767873764038,-0.37646096646785737,-0.00028463550843298434,0.0032502321526408197,-35.36326212,149.16523723999998,8192.6,-3.2,0.2,16.2
20:07:51,-1.1428571428571428,-22.714285714285715,-1000.0,-535.0,3.5714285714285716,3.142857142857143,1500.0,RTL,0.005297933139705232,0.0021693954144471456,-0.7753383091517857,-0.5387034437486103,0.0026431893597223927,0.0012608610559254885,-35.36326268571429,149.1652365,7510.0,2.5714285714285716,5.857142857142857,38.0
20:07:58,1.0,-43.0,-980.5,-1046.0,4.5,-0.5,1500.0,RTL,-0.028796599246561527,0.00275366532150656,-0.7758078277111053,-1.0498764514923096,0.0034046825603581965,-0.0029438710771501064,-35.363261,149.16523865,6155.0,-9.0,-6.0,34.5
20:08:00,0.2,4.6,-1001.0,-174.8,-0.4,4.6,1500.0,RTL,-0.018225783295929433,0.00012153511779615656,-0.7755877017974854,-0.1804239809513092,-0.0017500927671790123,0.0020722518675029278,-35.3632609,149.16523912000002,5732.2,-12.0,-10.4,32.6
20:08:01,-0.7142857142857143,22.285714285714285,-1003.5714285714286,441.14285714285717,2.0,3.2857142857142856,1500.0,RTL,-0.00019439805432089737,-0.00031473728137955604,-0.7753745232309613,0.43696643518550055,0.000928800120683653,0.0013409139521952187,-35.36326137142857,149.1652387857143,5032.0,-10.285714285714286,-11.285714285714286,34.285714285714285
20:08:03,-0.16666666666666666,-13.166666666666666,-1010.1666666666666,-294.3333333333333,1.8333333333333333,2.8333333333333335,1500.0,RTL,-0.010621278119894365,0.0017626784974709153,-0.7751859327157339,-0.2977178245782852,0.0008127969534446796,0.0002621238042290012,-35.36326135,149.16523860000004,4287.5,-7.666666666666667,-9.0,33.333333333333336
20:08:05,-1.25,32.25,-1014.5,809.5,0.75,3.0,1500.0,RTL,0.0076221361523494124,5.7268804994237144e-05,-0.7753877490758896,0.8062548339366913,-9.480590233579278e-05,0.0007791068637743592,-35.3632615,149.165238375,3682.5,-8.75,-8.0,32.75
20:08:09,-1.0,-25.333333333333332,-1010.0,-784.0,6.666666666666667,0.0,1500.0,RTL,-0.019786356948316097,0.0040328477043658495,-0.775425374507904,-0.7896231412887573,0.005580991002110143,-0.002277331620765229,-35.3632619,149.16523759999998,2382.0,-1.3333333333333333,-0.3333333333333333,34.0
